,Year,GDP (in Bil. US $ PPP),GDP Per Capita (in US $ PPP),GDP (in US $ nominal),GDP Per Capita(in US $ nominal),GDP Growth (real %),Inflation Rate (%),Unemployment (%),Government Debt (%)
0,1980,371.9,532.0,532.0,271.0,5.3,11.3,0.0,0
1,1981,431.5,603.2,603.2,274.7,6.0,12.7,0.0,0
2,1982,474.1,647.5,647.5,278.0,3.5,7.7,0.0,0
3,1983,528.6,705.3,705.3,296.3,7.3,12.6,0.0,0
4,1984,568.6,741.4,741.4,281.1,3.8,6.5,0.0,0
5,1985,617.4,787.1,787.1,302.9,5.3,6.3,0.0,0
6,1986,659.9,822.8,822.8,315.2,4.8,8.9,0.0,0
7,1987,703.0,857.7,857.7,346.2,4.0,9.1,0.0,0
8,1988,797.9,952.7,952.7,357.8,9.6,7.2,0.0,0
9,1989,878.5,1027.0,1027.0,352.2,5.9,4.6,0.0,0
10,1990,961.8,1101.3,1101.3,374.0,5.5,11.2,0.0,0
11,1991,1004.8,1127.4,1127.4,308.4,1.1,13.5,5.6,75.3
12,1992,1084.1,1192.2,1192.2,322.5,5.5,9.9,5.7,77.4
13,1993,1162.5,1253.5,1253.5,306.4,4.8,7.3,5.7,77.0
14,1994,1266.4,1339.2,1339.2,352.2,6.7,10.3,5.7,73.5
15,1995,1390.8,1442.9,1442.9,380.3,7.6,10.0,5.8,69.7
16,1996,1523.2,1550.6,1550.6,407.0,7.6,9.4,5.7,66.0
17,1997,1612.3,1610.8,1610.8,422.8,4.1,6.8,5.6,67.8
18,1998,1731.2,1698.1,1698.1,420.6,6.2,13.1,5.7,68.1
19,1999,1904.2,1834.4,1834.4,449.8,8.5,5.7,5.7,70.0
20,2000,2024.7,1916.3,1916.3,451.1,4.0,3.8,5.6,73.6
21,2001,2172.7,2021.1,2021.1,459.5,4.9,4.3,5.6,78.7
22,2002,2292.8,2097.1,2097.1,479.2,3.9,4.0,5.5,82.9
23,2003,2523.8,2270.6,2270.6,556.3,7.9,3.9,5.6,84.4
24,2004,2795.0,2474.2,2474.2,638.8,7.8,3.8,5.6,83.4
25,2005,3150.3,2745.1,2745.1,726.9,9.3,4.4,5.6,81.0
26,2006,3548.3,3044.5,3044.5,814.4,9.3,6.7,5.6,77.2
27,2007,4001.4,3381.8,3381.8,1046.9,9.8,6.2,5.6,74.1
28,2008,4236.8,3528.7,3528.7,1019.5,3.9,9.1,5.4,72.8
29,2009,4625.5,3798.5,3798.5,1121.2,8.5,12.3,5.5,71.5
30,2010,5161.4,4181.7,4181.7,1384.2,10.3,10.5,5.5,66.4
31,2011,5618.4,4493.7,4493.7,1458.1,6.6,9.5,5.4,68.6
32,2012,6153.2,4861.2,4861.2,1443.9,5.5,10.0,5.4,68.0
33,2013,6477.5,5057.2,5057.2,1449.6,6.4,9.4,5.4,67.7
34,2014,6781.0,5233.9,5233.9,1573.9,7.4,5.8,5.4,67.1
35,2015,7159.8,5464.9,5464.9,1605.6,8.0,4.9,5.4,69.0
36,2016,7735.0,5839.9,5839.9,1732.6,8.3,4.5,5.4,68.9
37,2017,8276.9,6112.1,6112.1,1958.0,6.8,3.6,5.4,69.7
38,2018,9023.0,6590.9,6590.9,1974.4,6.5,3.4,5.3,70.4
39,2019,9540.4,6897.8,6897.8,2050.2,3.9,4.8,5.3,75.0
40,2020,9101.3,6517.8,6517.8,1913.2,-5.8,6.1,8.0,88.5
41,2021,10370.8,7355.4,7355.4,2234.3,9.1,5.5,6.0,84.7
42,2022,11855.4,8329.3,8329.3,2379.2,6.8,6.7,0.0,83.1
43,2023,13033.4,9073.0,9073.0,2601.4,5.9,4.9,0.0,83.2
44,2024,14165.5,9773.0,9773.0,2802.5,6.3,4.4,0.0,83.7
45,2025,15330.6,10484.8,10484.8,3146.8,6.9,4.1,0.0,83.8
46,2026,16563.8,11232.6,11232.6,3231.7,6.1,4.1,0.0,83.8
47,2027,17877.0,12024.0,12024.0,3465.9,6.0,4.0,0.0,83.7
